Ameise	schwarz/braun/rot
Apfel	rot/orange/gelb/gold
Tafel	schwarz/grün
Blut	rot
Blaubeere	blau/schwarz
Brokkoli	grün
Bluterguss	blau/lila
Kohl	grün
Karotte	orange/rot/gelb
Blumenkohl	weiß/grün/gelb/gelblich
Sellerie	grün/weiß/braun
Kirsche	rot/gelb/schwarz
Schokolade	weiß/braun/schwarz
Wolke	weiß/grau/grau
Kohle	schwarz
Kaffee	schwarz/braun
Preiselbeere	rot/lila/pink
Creme	weiß
Krähe	schwarz
Gurke	grün
Smaragd	grün
Kühlschrank	weiß/silber/schwarz
Frosch	grün/braun/grau/grau
Trauben	schwarz/rot/grün/lila e
Gras	grün
Blätter	grün/rot/gelb
Milch	weiß
Papier	weiß/farbig
Petersilie	grün
Pfingstrose	rot/weiß/rosa/lila
Pfeffer	schwarz/rot/grün/gelb/orange
Kartoffel	braun
Rettich	rot/rosa/weiß/grün/schwarz
Rabe	schwarz
Rose	rot/gelb/rosa/weiß/blau
Rubin	rot
Salz	weiß
Saphir	blau
Meer	blau/grün/grau/grau
Himmel	blau/grau/grau
Schnee	weiß
Erde	schwarz/braun/dunkel
Spinat	grün
Zucker	weiß/braun
Sonne	gelb/gold
Schwan	weiß/schwarz/grau/grau
Tee	schwarz/grün/weiß/rot/braun/gelb
Tomate	rot
Zahnpasta	weiß
Joghurt	weiß/rosa
