Schauspieler	Schauspielerin
Batman	Batwoman
Eber	Sau
Junge	Mädchen
Bruder	Schwester
Bock	Hirschkuh
Stier	Kuh
Geschäftsmann	Geschäftsfrau
Vorsitzender	Vorsitzende
Papa	Mama/Mama
Papa	Mami/Mutter/Mama
Herzog	Herzogin
Kaiser	Kaiserin
Vater	Mutter
Fischer	Fischerin
Fuchs	Füchsin
Gentleman	Dame/Herrin/Madam
Gott	Göttin
Großvater	Großmutter
Opa	Oma
Enkel	Enkelin
Bräutigam	Braut
Schulleiter	Schulleiterin
Erbe	Erbin
Held	Heldin
Hund	Hündin
Ehemann	Ehefrau
König	Königin
Löwe	Löwin
Mann	Frau
Manager	Managerin
Herr	Fräulein/Fräuleins/Fräuleins/Frau/Frau/Madam
Mörder	Mörderin
Neffe	Nichte
Dichter	Dichterin
Polizist	Polizistin
Prinz	Prinzessin
Widder	Mutterschaf
Hahn	Henne
Bildhauer	Bildhauerin
Herr	gnädige Frau
Sohn	Tochter
Hengst	Stute
Stiefvater	Stiefmutter
Superman	Superwoman
Tiger	Tigerin
Onkel	Tante
Kammerdiener	Dienstmädchen/Dienstmädchen/Hausmädchen/Kammermädchen/Magd/Dienstmädchen/Stubenmädchen/Stubenmädchen
Kellner	Kellnerin
Webmaster	Webmistress
