formica	nero/marrone/rosso
mela	rosso/arancione/giallo/dorato
lavagna	nero/verde
sangue	rosso
mirtillo	blu/nero
broccoli	verdi
livido	blu/viola
cavolo	verde
carota	arancione/rosso/giallo
cavolfiore	bianco/verde/giallo/giallastro
sedano	verde/bianco/marrone
ciliegia	rosso/giallo/nero
cioccolato	bianco/marrone/nero
nuvola	bianco/grigio/grigio
carbone	nero
caffè	nero/marrone
mirtillo rosso	rosso/viola/rosa
crema	bianco
corvo	nero
cetriolo	verde
verde	smeraldo
frigorifero	bianco/argento/nero
rana	verde/marrone/grigio/grigio
uva	nero/rosso/verde/viola
erba	verde
foglie	verde/rosso/giallo
latte	bianco
carta	bianco/colore
prezzemolo	verde
peonia	rosso/bianco/rosa/viola
pepe	nero/rosso/verde/giallo/arancio
patate	marrone
ravanello	rosso/rosa/bianco/verde/nero
corvo	nero
rosa	rosso/giallo/rosa/bianco/blu
rosso	rubino
sale	bianco
blu	zaffiro
mare	blu/verde/grigio/grigio
cielo	blu/grigio/grigio
nevicare	bianca
terra	nero/marrone/scuro
spinaci	verdi
zucchero	bianco/marrone
sole	giallo/oro
cigno	bianco/nero/grigio/grigio
tè	nero/verde/bianco/rosso/marrone/giallo
pomodoro	rosso
dentifricio	bianco
yogurt	bianco/rosa
