attorem	attrice
Batman	Batwoman
cinghiale	seminare
ragazzo	ragazza
fratello	sorella
dollaro	dai
toro	mucca
uomo d'affari	donna d'affari
presidente	presidentessa
papà	mamma/mamma
papà	mamma/mamma/mamma
duca	duchessa
imperatore	imperatrice
padre	madre
pescatore	pescatrice
volpe	volpe
gentiluomo	signora/signora/signora
dio	dea
nonno	nonna
nonno	nonna
nipote	nipote
sposo	Sposa
preside	preside
erede	ereditiera
eroe	eroina
segugio	cagna
marito	moglie
re	regina
leone	leonessa
uomo	donna
direttore	direttrice
signore	signorina/signorina/signorina/signorina/signora/signora/signora
assassino	assassino
nipote	nipote
poeta	poetessa
poliziotto	poliziotta
principe	principessa
montone	pecora
gallo	gallina
scultore	scultrice
signore	signora
figlio	figlia
stallone	cavalla
patrigno	matrigna
superuomo	superdonna
tigre	tigre
zio	Zia
cameriere	cameriera/servitrice/cameriera/cameriera/ancella/ancella/cameriera/cameriera
cameriere	cameriera
webmaster	webmistress
