муравей	черный/коричневый/красный
яблоко	красный/оранжевый/желтый/золотистый
доска	черный/зеленый
кроваво	красный
черничный	синий/черный
брокколи	зеленый
синяк	синий/фиолетовый
капуста	зеленая
морковный	оранжевый/красный/желтый
цветная капуста	белый/зеленый/желтый/желтоватый
сельдерей	зеленый/белый/коричневый
вишневый	красный/желтый/черный
шоколадный	белый/коричневый/черный
облако	белый/серый/серый
уголь	черный
кофейный	черный/коричневый
клюквенный	красный/фиолетовый/розовый
кремовый	белый
ворона	черный
огурец	зеленый
изумруд	зеленый
холодильник	белый/серебристый/черный
лягушка	зеленый/коричневый/серый/серый
виноград	черный/красный/зеленый/фиолетовый
трава	зеленая
листья	зеленые/красные/желтые
молочный	белый
бумага	белая/цветная
петрушка	зеленая
пион	красный/белый/розовый/фиолетовый
перец	черный/красный/зеленый/желтый/оранжевый
картофельный	коричневый
редис	красный/розовый/белый/зеленый/черный
ворон	черный
Розовый	красный/желтый/розовый/белый/синий
Рубин	красный
соль	белая
сапфир	синий цвет
морской	синий/зеленый/серый/серый
небо	синий/серый/серый
снег	белый
почва	черный/коричневый/темный
шпинат	зеленый
сахар	белый/коричневый
солнце	желтый/золотой
лебедь	белый/черный/серый/серый
чайный	черный/зеленый/белый/красный/коричневый/желтый
помидор	красный
зубная паста	белая
йогурт	белый/розовый
