актер	актриса
Бэтмен	Бэтвумен
кабан	свинья
мальчик	девочка
брат	сестра
бак	лань
бык	корова
бизнесмен	деловая женщина
председатель	председатель
папа	мама/мама
папа	мама/мама/мама
герцог	герцогиня
император	императрица
отец	мать
рыбак	рыбачка
лиса	лисица
джентльмен	леди/джентльмен/госпожа
бог	богиня
дедушка	бабушка
дедушка	бабушка
внук	внучка
жених	невеста
директор	директриса
наследник	наследница
герой	героиня
гончая	сука
муж	жена
король	Королева
лев	львица
мужчина	женщина
менеджер	менеджерша
мистер	мисс/миссис/миссис/мисс/миссис/миссис/госпожа
убийца	убийца
племянник	племянница
поэт	поэтесса
полицейский	женщина-полицейский
принц	принцесса
баран	овца
петух	курица
скульптор	скульпторша
сэр	мадам
сын	дочь
жеребец	кобыла
отчим	мачеха
Супермен	суперженщина
тигр	тигрица
дядя	тетя
камердинер	горничная/служанка/горничная/горничная/служанка/служанка/горничная/горничная
Официант	Официантка
веб-мастер	веб-мастер
