Банк	финансовое учреждение	берег реки	деньги	сбережения
Кора	звук собаки	внешняя оболочка дерева	лай	дерево
Летучая мышь	летающее млекопитающее	спортивное оборудование	крыло	бита
Лук	кланяться	тип узла	поклон	узел
Ярмарка	справедливый	собрание с аттракционами и играми	справедливость	праздник
Свинец	вести	тип металла	руководство	металл
Левый	прошедшее время от "оставить"	направление	противоположное правому	прошедший	лево
Слеза	рвать	капля жидкости из глаза	разрыв	слёзы
Матч	соревнование	спичка	игра	огонь
Ладонь	тип дерева	внутренняя поверхность руки	пальма	рука
Парк	место с деревьями и травой	останавливать транспортное средство	сад	стоянка
Звонок	круглое украшение	звук колокола	кольцо	колокол
Весна	время года	пружина	зима	пружина
Колодец	хороший	глубокая яма для доступа к воде	здоровый	вода
Свет	то	 что делает вещи видимыми	не тяжёлый	лампа	лёгкий
Ряд	линия вещей	ссора	линейка	спор
Волна	движение руки	нарушение в воде	приветствие	океан
Пила	инструмент для резки	прошедшее время от "видеть"	инструмент	увидел
Утка	тип птицы	быстро наклонять голову или тело	птица	пригнуться
Дата	фрукт	назначенная встреча	финик	встреча
